[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.91 | err_x=22.4px err_y=-84.8px | cmd vx=5.00 vy=0.45 vz=-2.54 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.08
[CONTROL] det_conf=0.91 | err_x=19.1px err_y=-83.7px | cmd vx=5.00 vy=0.38 vz=-2.51 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.08
[CONTROL] det_conf=0.91 | err_x=10.7px err_y=-82.3px | cmd vx=5.00 vy=0.21 vz=-2.47 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.10
[CONTROL] det_conf=0.91 | err_x=5.8px err_y=-81.3px | cmd vx=5.00 vy=0.12 vz=-2.44 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.10
[CONTROL] det_conf=0.90 | err_x=5.1px err_y=-80.7px | cmd vx=5.00 vy=0.10 vz=-2.42 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.12
[CONTROL] det_conf=0.91 | err_x=3.8px err_y=-80.4px | cmd vx=5.00 vy=0.08 vz=-2.41 | meas vx=0.00 vy=0.02 vz=0.00 | Alt=-0.12
[CONTROL] det_conf=0.91 | err_x=3.8px err_y=-79.9px | cmd vx=5.00 vy=0.08 vz=-2.40 | meas vx=0.01 vy=0.02 vz=0.00 | Alt=-0.13
[CONTROL] det_conf=0.92 | err_x=5.6px err_y=-79.6px | cmd vx=5.00 vy=0.11 vz=-2.39 | meas vx=0.01 vy=0.02 vz=0.00 | Alt=-0.13
[CONTROL] det_conf=0.92 | err_x=7.9px err_y=-78.4px | cmd vx=5.00 vy=0.16 vz=-2.35 | meas vx=0.01 vy=0.02 vz=0.01 | Alt=-0.14
[CONTROL] det_conf=0.92 | err_x=8.1px err_y=-77.5px | cmd vx=5.00 vy=0.16 vz=-2.32 | meas vx=0.01 vy=0.02 vz=0.01 | Alt=-0.14
[CONTROL] det_conf=0.91 | err_x=8.4px err_y=-77.0px | cmd vx=5.00 vy=0.17 vz=-2.31 | meas vx=0.01 vy=0.01 vz=0.01 | Alt=-0.15
CRITICAL:autopilot:Potential Thrust Loss (2)
[CONTROL] det_conf=0.90 | err_x=10.0px err_y=-75.4px | cmd vx=5.00 vy=0.20 vz=-2.26 | meas vx=0.01 vy=0.01 vz=0.01 | Alt=-0.15
[CONTROL] det_conf=0.90 | err_x=11.2px err_y=-84.1px | cmd vx=5.00 vy=0.22 vz=-2.52 | meas vx=0.01 vy=0.01 vz=0.00 | Alt=-0.16
[CONTROL] det_conf=0.91 | err_x=12.6px err_y=-134.7px | cmd vx=5.00 vy=0.25 vz=-4.00 | meas vx=0.01 vy=0.01 vz=0.00 | Alt=-0.16
